sample_id,species,location,source
RRAP-ECT01-2022-Aspat-FITZ-1707_L2,Acropora cf. spathulata,Fitzroy Reef,doi.org/10.1016/j.cub.2026.04.111
RRAP-ECT01-2022-Aspat-FITZ-781_L1,Acropora cf. spathulata,Fitzroy Is,doi.org/10.1016/j.cub.2026.04.105
RRAP-ECT01-2022-Aspat-FITZ-809_L3,Acropora cf. spathulata,Fitzroy Is,doi.org/10.1016/j.cub.2026.04.106
RRAP-ECT01-2022-Aspat-FITZ-836_L3,Acropora cf. spathulata,Fitzroy Is,doi.org/10.1016/j.cub.2026.04.107
RRAP-ECT01-2022-Aspat-FITZ-839_L4,Acropora cf. spathulata,Fitzroy Is,doi.org/10.1016/j.cub.2026.04.108
RRAP-ECT01-2022-Aspat-HICK-431_L1,Acropora cf. spathulata,Hicks,doi.org/10.1016/j.cub.2026.04.057
RRAP-ECT01-2022-Aspat-HICK-433_L1,Acropora cf. spathulata,Hicks,doi.org/10.1016/j.cub.2026.04.058
RRAP-ECT01-2022-Aspat-HICK-440_L2,Acropora cf. spathulata,Hicks,doi.org/10.1016/j.cub.2026.04.059
RRAP-ECT01-2022-Aspat-HICK-445_L1,Acropora cf. spathulata,Hicks,doi.org/10.1016/j.cub.2026.04.060
RRAP-ECT01-2022-Aspat-HICK-446_L1,Acropora cf. spathulata,Hicks,doi.org/10.1016/j.cub.2026.04.061
RRAP-ECT01-2022-Aspat-HICK-447_L1,Acropora cf. spathulata,Hicks,doi.org/10.1016/j.cub.2026.04.062
RRAP-ECT01-2022-Aspat-HICK-478_L1,Acropora cf. spathulata,Hicks,doi.org/10.1016/j.cub.2026.04.063
RRAP-ECT01-2022-Aspat-KELS-943_L4,Acropora cf. spathulata,Kelso,doi.org/10.1016/j.cub.2026.04.112
RRAP-ECT01-2022-Aspat-KELS-945_L4,Acropora cf. spathulata,Kelso,doi.org/10.1016/j.cub.2026.04.113
RRAP-ECT01-2022-Aspat-KELS-959_L4,Acropora cf. spathulata,Kelso,doi.org/10.1016/j.cub.2026.04.114
RRAP-ECT01-2022-Aspat-KELS-962_L4,Acropora cf. spathulata,Kelso,doi.org/10.1016/j.cub.2026.04.115
RRAP-ECT01-2022-Aspat-KELS-967_L4,Acropora cf. spathulata,Kelso,doi.org/10.1016/j.cub.2026.04.116
RRAP-ECT01-2022-Aspat-KELS-970_L4,Acropora cf. spathulata,Kelso,doi.org/10.1016/j.cub.2026.04.117
RRAP-ECT01-2022-Aspat-KELS-976_L4,Acropora cf. spathulata,Kelso,doi.org/10.1016/j.cub.2026.04.118
RRAP-ECT01-2022-Aspat-MACK-652_L1,Acropora cf. spathulata,Mackay,doi.org/10.1016/j.cub.2026.04.085
RRAP-ECT01-2022-Aspat-MACK-653_L1,Acropora cf. spathulata,Mackay Reef,doi.org/10.1016/j.cub.2026.04.086
